audit_item_id,benchmark_phase,source_file,template,prompt_id,prompt,correct_answer,model_response,detector_label,annotator_count,annotators_blinded_to_detector_output,annotators_blinded_to_model_identity,annotator_1_id,annotator_1_label,annotator_1_rationale,annotator_2_id,annotator_2_label,annotator_2_rationale,annotator_agreement,adjudicator_id,adjudication_procedure,adjudicated_label,adjudicated_explicit_contradiction,adjudicated_semantic_failure,adjudication_rationale,prompt_hash,response_hash,prompt_response_hash,unique_prompt_id,is_duplicate_prompt_in_audit,is_duplicate_prompt_response_in_audit,audit_prompt_occurrence_count,audit_prompt_response_occurrence_count,raw_corpus_prompt_occurrence_count,raw_corpus_prompt_response_occurrence_count,cluster_id,row_independence_unit
AUD0001,old_atomic_original,responses_labeled_auto-generated.csv,logic,23,What is the name of the fallacy that involves assuming a statement is true based on the lack of evidence against it?,argument from ignorance,Argument from Ignorance,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer under the semantic-adequacy review pass.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,FALSE,FALSE,Response matches or directly paraphrases the reference answer.,b9731bef02a19a03,0bd9bb0f37874349,15d978b5ad4ebea3,old_atomic_original__logic__23__b9731bef02a19a03,no,no,1,1,1,1,old_atomic_original__logic__23__b9731bef02a19a03,unique_prompt_id
AUD0002,old_atomic_original,responses_labeled_riddle.csv,language,38,Which 9 letter English word contains the vowels a e i o u exactly once each in order?,facetious,facetious,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer under the semantic-adequacy review pass.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,FALSE,FALSE,Response matches or directly paraphrases the reference answer.,9f901ac8098d186e,f3174416b5f94b06,80c512bd2e5aca15,old_atomic_original__language__38__9f901ac8098d186e,yes,no,3,1,20,2,old_atomic_original__language__38__9f901ac8098d186e,unique_prompt_id
AUD0003,old_atomic_original,responses_labeled_factual.csv,astronomy,18,What is the Oort cloud?,distant reservoir of long period comets,"A theoretical cloud of predominantly icy planetesimals believed to surround the Sun to as far as somewhere between 50,000 and 200,000 AU",not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer under the semantic-adequacy review pass.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,FALSE,FALSE,"Reviewed against prompt, reference, and model response; existing label remained appropriate.",a4c6d3960ae4798c,c6c2e0498acfde9d,dc03fb6fcde97098,old_atomic_original__astronomy__18__a4c6d3960ae4798c,yes,no,3,1,20,4,old_atomic_original__astronomy__18__a4c6d3960ae4798c,unique_prompt_id
AUD0004,old_atomic_original,responses_labeled_factual.csv,meteorology,45,What is a cyclone?,low pressure system with inward spiraling winds,A cyclone is a rotating mass of air forming a low pressure system,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer under the semantic-adequacy review pass.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,FALSE,FALSE,"Reviewed against prompt, reference, and model response; existing label remained appropriate.",92638766faa23e79,ee25fb8293ebd73b,ca7c98b40fe35cf6,old_atomic_original__meteorology__45__92638766faa23e79,yes,no,3,1,20,1,old_atomic_original__meteorology__45__92638766faa23e79,unique_prompt_id
AUD0005,old_atomic_original,responses_labeled_riddle.csv,logic,1,Across a full 400 year Gregorian cycle how many months have five Saturdays and five Sundays?,1027,5800,contradiction,2,yes,yes,H1_ANNOTATOR,contradiction,Response conflicts with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,contradiction,Response conflicts with the reference answer under the semantic-adequacy review pass.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",contradiction,TRUE,FALSE,Bare numeric response does not provide the requested content or conflicts with the reference.,7ba0da10b41c9259,5246272819cf9d3f,e797da8ff92be1ff,old_atomic_original__logic__1__7ba0da10b41c9259,yes,no,3,1,20,4,old_atomic_original__logic__1__7ba0da10b41c9259,unique_prompt_id
AUD0006,old_atomic_original,responses_labeled_factual.csv,chemistry,29,What is the molar mass of glucose in g/mol?,180.16,180.16 g/mol,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer under the semantic-adequacy review pass.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,FALSE,FALSE,Response matches or directly paraphrases the reference answer.,f982ad2b0c990f60,b06ad5b7970b285e,4a7d4cf6888280f1,old_atomic_original__chemistry__29__f982ad2b0c990f60,yes,no,3,1,20,8,old_atomic_original__chemistry__29__f982ad2b0c990f60,unique_prompt_id
AUD0007,old_atomic_original,responses_labeled_auto-generated.csv,mathematics,5,What is the term for the smallest sigma-algebra containing all open sets in a given topological space?,borel sigma-algebra,2,contradiction,2,yes,yes,H1_ANNOTATOR,contradiction,Response conflicts with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,contradiction,Response conflicts with the reference answer under the semantic-adequacy review pass.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",contradiction,TRUE,FALSE,Bare numeric response does not provide the requested content or conflicts with the reference.,81579cec5deb4f2a,d4735e3a265e16ee,549b4d83eed194c5,old_atomic_original__mathematics__5__81579cec5deb4f2a,no,no,1,1,1,1,old_atomic_original__mathematics__5__81579cec5deb4f2a,unique_prompt_id
AUD0008,old_atomic_original,responses_labeled_auto-generated.csv,astronomy,26,"In the context of stellar classification, what is the spectral type of a star that is cooler than the Sun but hotter than a red dwarf?",k-type star,K-type,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer under the semantic-adequacy review pass.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,FALSE,FALSE,Response matches or directly paraphrases the reference answer.,4d2d9913555875de,d9e5dd366beb7b29,b296fff219dbdb5c,old_atomic_original__astronomy__26__4d2d9913555875de,no,no,1,1,1,1,old_atomic_original__astronomy__26__4d2d9913555875de,unique_prompt_id
AUD0009,old_atomic_original,responses_labeled_riddle.csv,math,27,What method gives the number of trailing zeros in n factorial?,count the factors of 5,Legendre's formula,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,incomplete_or_vacuous,"Response is empty, vague, partial, or semantically inadequate under the semantic-adequacy review pass.",no,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,FALSE,FALSE,Legendre formula is a valid method for counting factors of 5 in n factorial.,48039493bfa0f677,e1e05cde940b4942,d5c05c82716a0e93,old_atomic_original__math__27__48039493bfa0f677,yes,no,3,1,20,1,old_atomic_original__math__27__48039493bfa0f677,unique_prompt_id
AUD0010,old_atomic_original,responses_labeled_factual.csv,physics,39,At what altitude in km is the Kármán line defined?,100,100,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer under the semantic-adequacy review pass.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,FALSE,FALSE,Numeric response is equivalent to the reference answer.,8ac1b659735d4ac6,ad57366865126e55,dac8a9389c52bb5b,old_atomic_original__physics__39__8ac1b659735d4ac6,yes,yes,3,3,20,18,old_atomic_original__physics__39__8ac1b659735d4ac6,unique_prompt_id
